name,cuisine,opens,closes,days open,price,rating,unit,location,description
Sakura,japanese,17:00:00,22:30:00,"Mo,Tu,We,Th,Fr,Sa,Su",3,2,18,6 Olde Towne Mall,"Sushi specials daily. We serve fast, friendly, fresh Japanese cuisine."
Shandong Lu,chinese,17:00:00,22:30:00,"Tu,We,Th,Fr,Sa,Su",4,3,0,335 University,Szechuan and Mandarin specialities with a fine dining ambiance. Our hot and sour soup is the best in town.
Curry Galore,indian,11:00:00,22:30:00,"Mo,Tu,We,Th,Fr,Sa",3,2,0,56 Park Ave,"Famous North Indian home cooking. Spicy or mild, as you like it. Delivery available."
North by Northwest,cafe,6:00:00,18:00:00,"Mo,Tu,We,Th,Fr,Sa,Su",1,4,0,201 University,Great coffee and snacks. Free wifi. 
Full of Beans,cafe,6:30:00,20:30:00,"Mo,We,Fr,Sa,Su",3,5,0,498 College Ave.,We roast on premises to give you the best cup of coffee in town. 
Tropical Jeeve's Cafe,cafe,7:00:00,14:30:00,"Mo,Tu,We,Th,Fr,Sa,Su",2,4,0,550 Milliways Ave,"Hawaiian style coffee, fresh juices, and tropical fruit smoothies."
Zardoz Cafe,cafe,10:30:00,0:00:00,"Mo,Tu,We,Th,Fr",4,2,0,6202 Alameda,Coffee bar and sci-fi bookshop. Come in for an espresso or a slice of our famous pie.
Angular Pizza,pizza,6:00:00,0:00:00,"Mo,Tu,We,Th,Fr,Sa,Su",1,5,0,2232 King St.,Home of the superheroic pizza! 
Flavia,pizza,11:30:00,22:00:00,"Tu,We,Th,Fr,Sa,Su",4,5,0,401 Riddick St.,"Roman-style pizza -- square, the way the gods intended."
Luigi's House of Pies,pizza,16:30:00,23:00:00,"Mo,Tu,We,Th,Fr,Sa",2,1,0,5 Garcia Ave.,Our secret pizza sauce makes our pizza better. We specialize in large groups.
Thick and Thin,pizza,17:00:00,23:30:00,"Mo,Tu,We,Th,Fr,Sa,Su",5,4,0,832 Dominican Ave.,"Whether you're craving Chicago-style deep dish or thin as a wafer crust, we have you covered in toppings you'll love."
When in Rome,pizza,11:00:00,21:30:00,"Mo,We,Fr,Sa,Su",3,2,0,234 Valencia St.,Authentic Italian pizza in a friendly neighborhood joint.
Pizza 76,pizza,10:30:00,22:00:00,"Mo,Tu,We,Th,Fr,Sa,Su",4,3,0,76 Market St.,Wood-fired pizza with daily ingredients fresh from our farmer's market. We make our own mozzarella in house.
